izo;prijati;zamitnuti;celkem
130002216.0;71;147;218
130002241.0;175;288;463
130002330.0;111;204;315
130002372.0;39;70;109
130002381.0;578;1669;2247
130002437.0;216;445;661
130002445.0;278;627;905
130002542.0;101;126;227
150002785.0;9;0;9
150003595.0;60;156;216
150003978.0;57;137;194
150004451.0;111;333;444
150004516.0;33;44;77
150004648.0;17;12;29
150004842.0;70;1;71
150008023.0;65;83;148
150009810.0;50;34;84
150024975.0;30;43;73
150027265.0;182;540;722
150028393.0;1;0;1
150033923.0;7;10;17
150045395.0;7;0;7
150065591.0;3;7;10
150067241.0;65;153;218
150067364.0;4;0;4
150067861.0;134;261;395
150068123.0;2;0;2
150068654.0;88;214;302
150068964.0;35;65;100
150069031.0;202;413;615
150069685.0;11;0;11
150069880.0;4;0;4
150071329.0;6;0;6
150072490.0;0;6;6
150076339.0;3;1;4
150076363.0;74;188;262
150076738.0;64;117;181
150076983.0;12;1;13
150077009.0;15;34;49
150077084.0;2;0;2
150077971.0;5;0;5
150078137.0;32;71;103
150078153.0;69;123;192
150078340.0;16;20;36
151011494.0;15;20;35
151012997.0;295;564;859
151014507.0;186;216;402
151014655.0;55;113;168
151015643.0;3;0;3
151016003.0;107;207;314
151016887.0;56;69;125
151017697.0;3;6;9
151017891.0;53;98;151
